"NAME","Pittsburgh","JOIN_NAME"
"East Allegheny",1,"CITY OF PITTSBURGH"
"Allegheny Center",1,"CITY OF PITTSBURGH"
"Central Oakland",1,"CITY OF PITTSBURGH"
"Brighton Heights",1,"CITY OF PITTSBURGH"
"South Side Slopes",1,"CITY OF PITTSBURGH"
"Arlington",1,"CITY OF PITTSBURGH"
"Chartiers City",1,"CITY OF PITTSBURGH"
"Carrick",1,"CITY OF PITTSBURGH"
"Bloomfield",1,"CITY OF PITTSBURGH"
"Banksville",1,"CITY OF PITTSBURGH"
"Mount Washington",1,"CITY OF PITTSBURGH"
"East Hills",1,"CITY OF PITTSBURGH"
"Central Lawrenceville",1,"CITY OF PITTSBURGH"
"West End",1,"CITY OF PITTSBURGH"
"Esplen",1,"CITY OF PITTSBURGH"
"Point Breeze",1,"CITY OF PITTSBURGH"
"Hazelwood",1,"CITY OF PITTSBURGH"
"Crawford-Roberts",1,"CITY OF PITTSBURGH"
"South Oakland",1,"CITY OF PITTSBURGH"
"Upper Hill",1,"CITY OF PITTSBURGH"
"Ridgemont",1,"CITY OF PITTSBURGH"
"Troy Hill",1,"CITY OF PITTSBURGH"
"South Shore",1,"CITY OF PITTSBURGH"
"Mt. Oliver",1,"CITY OF PITTSBURGH"
"California-Kirkbride",1,"CITY OF PITTSBURGH"
"Spring Hill-City View",1,"CITY OF PITTSBURGH"
"Sheraden",1,"CITY OF PITTSBURGH"
"Stanton Heights",1,"CITY OF PITTSBURGH"
"Beechview",1,"CITY OF PITTSBURGH"
"St. Clair",1,"CITY OF PITTSBURGH"
"Chateau",1,"CITY OF PITTSBURGH"
"Shadyside",1,"CITY OF PITTSBURGH"
"Summer Hill",1,"CITY OF PITTSBURGH"
"West Oakland",1,"CITY OF PITTSBURGH"
"Windgap",1,"CITY OF PITTSBURGH"
"Spring Garden",1,"CITY OF PITTSBURGH"
"Squirrel Hill South",1,"CITY OF PITTSBURGH"
"Strip District",1,"CITY OF PITTSBURGH"
"Swisshelm Park",1,"CITY OF PITTSBURGH"
"Perry South",1,"CITY OF PITTSBURGH"
"Upper Lawrenceville",1,"CITY OF PITTSBURGH"
"Regent Square",1,"CITY OF PITTSBURGH"
"Terrace Village",1,"CITY OF PITTSBURGH"
"Elliott",1,"CITY OF PITTSBURGH"
"South Side Flats",1,"CITY OF PITTSBURGH"
"Fineview",1,"CITY OF PITTSBURGH"
